text,label,dialect,type
يا راجل اتق الله عيب عيب,0,standard,negative
تصبحين علي خير يا قلبي ليلة سعيدة واحلام جميلة,0,standard,positive
بالتوفيق لقطر,0,standard,positive
رأي الناس فيك لايهم المهم هو رأيك انت حول نفسك,0,standard,neutral
نغرد ولا نتابع,0,standard,neutral
صباحك ورد,0,standard,positive
اينما كانت الاستفادة كنا و اينما حلت حللنا,0,standard,positive
الله يرضي عليك ا بنتي بالبنين و البنات ان شاء الله,1,dialectal,positive
راه شي عشرين تويت ديالهم لي لقيت عندي,1,dialectal,neutral
نعم قلت شكرا,0,standard,positive
أنا البعيد اللي يحبك أكثر من قريبك,0,standard,negative
صدقت الحكمة,0,standard,positive
جعلنا الله واياكم من اهلها اخي الفاضل بارك الله فيك اخي الكريم,0,standard,positive
طبيب الفقراء يعود للواجهة من جديد,0,standard,neutral
الله يحفظاك,1,dialectal,positive
متحف سيدي محمد ينغمس في تاريخ الصويرة,0,standard,neutral
اللهم احفظ المملكة وقيادتها وشعبها واحميها من كل شر وكل فتنه,0,standard,positive
بعض مما عندكم ابا سفيان الرقي عنوان اخر لمرورك الطيب أيها الفاضل,0,standard,positive
تكريمي من طرف جمعية المستقبل للأعمال الإجتماعية والمسرح والسينما إن شاء الله القادم أحلى شكرا,0,standard,positive
قلت نمشي نشجع الفرقة نتاعنا ولكن ك يبان ليا ما مطفرينو اللهم نعيدو ف بلادنا,1,dialectal,mixed
اجتماع خاص لتتبع الوضعية الصحية للاعبي فريق الرجاء,0,standard,neutral
قل لن يصيبنا الا ما كتب الله لنا,0,standard,neutral
ثقافة حنا فالحين غ يشبعوهم عصا حدا البرلمان,1,dialectal,negative
كان كتمارس عليه سلطة القمع و التحقير و ملي توضف بغا يفرخ المكبوثات ديالو في التعليم,1,dialectal,negative
الله اعلم خصوصا مع فرقه صغيره,0,standard,negative
نجرب خير ان شاء الله,0,standard,positive
ميرسي سنة سعيدة عليك حتى نتي ان شاءالله,1,dialectal,positive
سلمت أناملك رائع هو قلمك قلمك سيال كم انت بهي بقلمك اتحفتنا بقلمك لقد وضعت القلم على الجرح شكرا على مرورك,0,standard,positive
لا أتفق معك أنت دائما منحاز للشخص الغني قبح الله وجهكم,0,standard,negative
الله يوفق أختنا الجزائر و الجزائريين في إمتحان الديموقراطية,0,standard,positive
أغلب المنتخبات اللي قدمت مستويات كبيرة فالمونديال كنلقاو عندها مدرب دوز معاها فترة طويلة و تأقلمو معاه اللاعابة و المحيطين بالمنتخب لهذا نطالب الجامعة بالعمل على ابقاء كمدرب لكتيبة الاسود حتى انتهاء عقده مع الاسود,1,dialectal,neutral
للعلم نتكلم عن حالة واقعية,0,standard,neutral
الينايريون الرائعون,1,dialectal,positive
المهم ليس الحفظ بالنسبة لي ولا أريد متعلما يحفظ المعلومات ليقوم بارجاعها لي يوم الامتحان أريد من يفهم الإشكالية الفلسفية ولديه قدرات على التحليل العقلاني والنقد البناء ولابأس إن كان مشاغبا,0,standard,neutral
اعتني بنفسك جيدا,0,standard,positive
لك بالمثل احلام سعيدة,0,standard,positive
بصح و الله,1,dialectal,positive
ممارسة كرة الطاولة وتدريب الواقع المعزز,0,standard,neutral
اش غ يوقع گاع حرري راسك,1,dialectal,positive
هذا حتى هو كيتقام كل سنة فاكادير و هناك دعوة لمقاطعته من قبل ابناء المنطقة,1,dialectal,neutral
الله يجمعنا ولا يفرقنا وهادا الضحك ماعندو حتى معنى والله الا حشومة,1,dialectal,negative
مشاو بعيد,1,dialectal,neutral
الله يغفر لها ويرحمها ويسكنها فسيح جناته,0,standard,positive
مضمنت لك والووو للاسف,1,dialectal,negative
أنا وإياك يارب حفضك الله ورعاك تحياتي واحترامتي,0,standard,positive
كلشي موجود الحمد لله و أنت كيف الحال,1,dialectal,positive
تهميش المواطن واحتقاره,0,standard,negative
يارب توفيقك لتلاميذنا و تلميذاتنا ، اللهم افتح عليهم فتح العارفين و سدد اجاباتهم يارب العالمين امين,0,standard,positive
المغرب هى اصل الطراز والعراقه,0,standard,positive
طريقة تسييره للنادي فاشلة و ليس له المستوى الكافي لتسيره,0,standard,negative
حقيقة الإنسان ليس بما يظهره لك بل بما يفعله لأجلك,0,standard,neutral
أي واحد بغانا ودار اي حاجة باش اوصلنا كنسمحو فيه ونزيدو,1,dialectal,mixed
وليت كانكره الويكاند كون غير يخليوني نفيق وقتما بغيت و نخدم,1,dialectal,negative
عادي جدا,0,standard,neutral
صدقني لم يعد شى في الحياة يدعو لراحة,0,standard,negative
من أعز صديقاتي على تويتر,0,standard,positive
الجائزة تعطى بأي مقاييس الله يخليك,0,standard,positive
الجو حزين مناسب لجونا,0,standard,negative
يسعد ايامك وحياتك يا رب,0,standard,positive
فعايل و نص گالاك,1,dialectal,positive
الصورة لوحدها تخليك متصدقيش,1,dialectal,neutral
يحكى أن منصة السويسي بالرباط فارغة تحية لشعب المداويخ,0,standard,positive
لا يؤمن احدكم حتى يحب لاخيه ما يحب لنفسه وهذا من الخصال الحميدة فيك,0,standard,positive
الراديو وحديث متواصل,0,standard,neutral
شكراا لحبيبة ديالي,1,dialectal,positive
طلبتيها ساهلة,1,dialectal,neutral
هناك سعادة اسميتها أمي رجوتك إلهي لا تذقها حزنا واجعلها اسعد خلقك,0,standard,positive
الله يصاوب ليك ليام,1,dialectal,positive
من طول الغيبات يفقد مكانه,0,standard,negative
اقسم بالله ان العرب اكثر الشعوب تخلفا,0,standard,negative
فعاليات مهرجان السيدة الحرة تنطلق بشفشاون,0,standard,neutral
صافي بما انه السعودية غادي تقاطعنا ودير علينا حصار وداكشي تاكدو بلي كاس افريقيا لينا هاد العام مبروك الاخوان,1,dialectal,mixed
المهم انك بخير و على خير الحمد لله,0,standard,positive
ماتش ديال المرض,1,dialectal,negative
للاسف و لكن بوعي الامهات و الاباء نأمل ان يتغير الحال مستقبلا,0,standard,mixed
اجالس نفسي وارتب افكاري المشوشة,0,standard,neutral
شكرا بزاف اخي نادر بارك الله فيك ويوفقك حتى نتا ويسعدك ويكبر بيك,1,dialectal,positive
لقد كنت أنتظر طويلا,0,standard,neutral
هادي آخر كلمة عندي نكتبها من قلبي والدمعة في عيني,0,standard,negative
ترشيح جثة بوتفليقة,0,standard,negative
مشاكلنا تبدأ عندما نتوقع الكثير من الآخرين,0,standard,negative
صباح أخي محمد نهار مبرووك,1,dialectal,positive
دامت عليك صحة وسلامة,0,standard,positive
استغفر الله واتوب اليه,0,standard,positive
يظنون أن الضوء أسرع ما في الكون أو لا تعلمون أن الدعاء يجتاز المسافة الموجودة بين الأرض والسماء في ثانية,0,standard,positive
هيئة نساء من أجل العربية ترى النور بمراكش,0,standard,neutral
الله ينجينا من العنصرية ختي,1,dialectal,positive
غا ضاحك معاك,1,dialectal,positive
عيب تضحك علي خلق الله قلة أدب,1,dialectal,negative
سبحان اللي خلق الراحه والسعاده بابتسامتها,0,standard,positive
المؤامرة الحقيقية,0,standard,negative
عظم الله اجركم الله يرحمها ويسكنها الجنة,0,standard,positive
و الله الى عندك الحق سير عالله,1,dialectal,positive
باختصار الدوزي يمزج الإيقاعات بلهجة بيضاء,0,standard,neutral
للترفيه فقط أي قصرية يجي بسم الله,1,dialectal,positive
حاول يكون هدفك في الحياة هو إسعاد نفسك,0,standard,positive
الله يعطيك الخير يارب العالمين خويا,0,standard,positive
شكرا على ذوقك,0,standard,positive
اللهم يا أول الأولين وآخر الآخرين وياذا القوة المتين ويا راحم المساكين ويا أرحم الراحمين فك كربنا واصلح فريقنا وان,0,standard,positive
انا لله وانا اليه راجعون,0,standard,neutral
امين اجميع يارب حياك الله اخي الكريم,0,standard,positive
فكرة جميلة لو تم دمج الاسماء فيما بينها نحن لسنا ضد الاسماء الفلسطينية و لكن انصافا لمن كانو سببا في ازدهار المنطقة,0,standard,positive
شعرها الأسود الطويل هو تفاصيل الجمال,0,standard,positive
الصحراء أرض مغربية وقد كانت دائما كذلك,0,standard,neutral
اهم ما جاء في الكتاب العرب متدينون جدا، وفاسدون جدا الحكومة لا تعامل الناس بجدية، بل تسخر منهم وتضحك عليهم في مجتمع كمجتمعنا المجتمع الياباني نضيف حقائق جديدة، بينما يكتفي العربي باستعادة الحقائق التي اكتشفها في الماضي البعيد,0,standard,neutral
اللهم آمين بارك الله فيكم سيدي,0,standard,positive
امين يا ربي,1,dialectal,positive
من يحرث الخير يحصد الخير ومن يحرث شر يحصد شر,0,standard,mixed
ربي يخليك حبية حتى الله يسعدك و يهنئ قلبك,1,dialectal,positive
صباحكم تفاؤل,0,standard,positive
ممكن تعطينا المدينة لكي نحدد من بامكانه تسلمها منك وشكرا جزيلا,0,standard,positive
ربما بعض السكريات احسن و تعوض دور القهوة,0,standard,positive
بصحتك و راحتك,1,dialectal,positive
وجهك يشابه للقمر في كماله,0,standard,positive
سبحان مغير الاحوال,0,standard,positive
واخا يا لالة,1,dialectal,positive
أحسن تعليق,0,standard,positive
الأيام دول فليفرح بفعلته لكن أن يسلم فلا أضمن له و لو بعد حين,0,standard,mixed
الله يسعد قلبك يا روح حسناء انتي ويحفظ كرامتك وحياتك وقلبك الطيب,0,standard,positive
قصدك روعة,0,standard,positive
لقتيه بعدا باش تخليه,1,dialectal,neutral
الحمدلله لا هدايا ولا اتصالات ولا ازعاج,0,standard,positive
أجمل إحساس عندي فاش كنطلع فوق الخشبة وكنغني قدام بزاف ديال الناس و كيفرحو وكيغنيو معايا كنتمنى نكون ديما عدد حسن الظن ديالكم احبكم حبابي,1,dialectal,positive
خير مثال الحكام العرب,0,standard,positive
لاروع و اجمل و احلى صديقاتي على تويتر,0,standard,positive
مسولوش عليك باش نقولها ليهم,1,dialectal,neutral
التفاصيل بالقصة,0,standard,neutral
ما دام الله يسمعني ، سأتمنى,0,standard,positive
الله يبارك فيك شكرا,0,standard,positive
من الأفضل لريال مدريد نسيان هذا الموسم والتركيز على اللاعبين الذين سيدعم بهم صفوفه للموسم المقبل,0,standard,neutral
اين انتم ياقوم,0,standard,neutral
مريم ماهذا التشاؤم,0,standard,negative
المشكل اللي عندكم كان عندنا في المغرب قبل ان يحل الاتحاد بأكمله و لكن خاليو لينا المدرب راه باغينو للقدام تقبلي مروري,1,dialectal,mixed
هل يوجد تلوج بإفران حاليا,0,standard,neutral
المخزن والتراكتور وجهان لعملة واحدة,1,dialectal,negative
دارو لينا ا الارهاب ا خاي,1,dialectal,negative
يكون خير,1,dialectal,positive
للي خايب لراسه و للي مزيون ليه والناس,1,dialectal,neutral
سنة امازيغية سعيدة,0,standard,positive
الإخوان جماعة إرهابية وهم من قتلوا ابني,0,standard,negative
نص كلامك الاول صحيح و عاجبني والنص الاخر كنختلف معاك فيه حيت وخا تكون افعال غريبة لكن تاحد عندو الحق يتاجر بالوطنية ويقول لشي حد نتا وطني او خاين وكلنا بحال بحال,1,dialectal,mixed
دي ليخت يقترب كثيرا من الانضمام إلى برشلونة,0,standard,neutral
انا لله وانا اليه راجعون رحمة الله على الجميع,0,standard,positive
لا يعرف الله حتى يتقيه عليه من الله ما يستحق,0,standard,negative
غش في غش إلى أين بهذه البلاد البئيسة,0,standard,negative
كن بالحياة انسان بسيط متواضع حتى وإذ تكون مظلوما ولا تتعالى على خلق الله ذلك لتكسب رضا الخالق والمخلوق وتتدخل الجنه خالدا فيها,0,standard,positive
صباح التوكل على الله,0,standard,positive
شي مقزز فعلا,0,standard,negative
لم ذلك و الله اني لا اعرف و علاش بالضبط غير المغربيات بغض النظر على الطماعات الله احسن العوان كانو يديروا سعوديات احسن يعالجو غ مجتمعهم و لكن راهم بالغو بزاف,1,dialectal,negative
يسعد صباحك بارككي الله و يسر امركي و اسعد قلبكي,0,standard,positive
تشبيه واعر,1,dialectal,positive
وفي ظلكم سيادة الرئيس أخبرنا عن حال القضاء,0,standard,neutral
رغم ذلك خلينا نقولو مبرووك,1,dialectal,positive
اتقي الله في خلق الله و حاولي تكسبي اجر و تواب اليوم الجمعة انصحك تستغفري ربك بين العصر و المغرب,1,dialectal,positive
في الدول الاخرى الشخص الواحد يعمل لصالح الامة و في الوطن العربي الامة تعمل لصالح شخص واحد,0,standard,neutral
داكوغ شكرا على النصيحة,1,dialectal,positive
عن اي قمة اقتصادية يتحدثون الله يلعن للي ما يحشم,1,dialectal,negative
لا تقل في الناس مالا تحب أن يقال فيك,0,standard,neutral
الله يفاجيها عليك أخويا,1,dialectal,positive
انا ماكرهت نمشي ونتفرج,1,dialectal,neutral
صلى الله عليه وسلم,0,standard,positive
هو الذي سيطر و لكنه انهزم هذا هو حال المنتخبات العربية و من ورائها الانظمة و الدول العربية,0,standard,negative
مرحبا بالإدارة العامة للأمن الوطني على شبكة التواصل الاجتماعي تويتر,0,standard,positive
خسئو و خسئ نفاقهم,0,standard,negative
جزاك آلله الجنة,0,standard,positive
تفكيك خلية إرهابية تتكون من ستة عناصر متطرفة,0,standard,negative
مقطع روعة تروع,0,standard,positive
العثماني يفتتح معرض الكتاب والثقافة,0,standard,neutral
منتخبنا الوطني في كلمة واحدة فرض على العالم الرياضي احترامه,0,standard,positive
جائزه نوبل للوفاء والتحدي تمنح وبكل افتخار لفانز النجمه سهيلة,0,standard,positive
اللهم آمين يا رب,0,standard,positive
لك الأجر ضعفين,0,standard,positive
تصبحون على رحمة,0,standard,positive
خمس دقائق من جحيم,0,standard,negative
لعنة الله عليك إلى يوم الدين,0,standard,negative
الله يبار ليا فيك و يفرح قبلك حبيبة,1,dialectal,positive
اللهم حبب إلى قلبي الإيمان والقران ومجالس الصالحين,0,standard,positive
الحياة الطيبة وعدم الضلال والشقاء متحققان لمن اتبع منهج الله من عمل صالحا من ذكر أو أنثى وهو مؤمن فلنحيينه حياة طيبة,0,standard,positive
يعني عاودي علقي عليها بتعليق جديد لتعاود الظهور مجرد خطوة بسيطة تقدر تنجح تقدر لا,1,dialectal,neutral
قبل الإقلاع فكر في الهبوط,0,standard,neutral
تعلموا الحب أولآ ثم أصنعوا له عيدآ مول تغريدة,0,standard,positive
بصحة والراحة,1,dialectal,positive
اكثر بلد استفادة من افريقيا تبا لهم تبا لهم,0,standard,positive
عيونه سماي وقلبه أكبر أوطاني,0,standard,positive
احساس رائع,0,standard,positive
اشكرك على المعلومة و أشكر مرورك الكريم,0,standard,positive
الرجل الذي يعيش على حساب كسب المراة,0,standard,neutral
من بغى القرب ما تعذر بالظروف,0,standard,neutral
ما من رجل عظيم يصادفني في الحياة إلا وأجزم في الحال أن والدته أكثر عظمة منه,0,standard,positive
تستاهل,1,dialectal,positive
سلمت سيدي,0,standard,positive
سبحان الله الحمد لله لا إله إلا الله الله أكبر لا حول ولا قوة إلا بالله,0,standard,neutral
صحيح ان هناك فرق كبير,0,standard,positive
صناعة الكذب,0,standard,negative
فلنوزع الحب,0,standard,positive
تربية الحمام الزاجل هواية الملوك تجتذب شباب زواغة بفاس,0,standard,neutral
سلمان العودة العالم الرباني والمفكر الإسلامي صاحب الأفكار النيرة مهدد بالإعدام لكن ذلك لن يمحي أثره الطيب ولن يزيد محبيه ومقدريه إلا انكبابا على كتبه وأفكاره,0,standard,positive
يا رب,0,standard,positive
رجع قرا ماغانعاودش,1,dialectal,neutral
فعلا الله كريم بعباده,0,standard,positive
√•° إذا كانت الفرحة في قلوب الأخرين تسعدك فأنت إنسان,0,standard,positive
سعيد جدا برؤية حسابك وأتمنى استمراره,0,standard,positive
شفت الهنا بكونك وامسيت بك مفتون,0,standard,positive
عندهم ثقافة اعتياد للقبح ثقافة اعتياد للقذارة,0,standard,negative
الحمد لله العودة للصدارة و روح الفريق موجودة,0,standard,positive
ما بقاش يحشم,1,dialectal,negative
تقدير موقف حول قرار ترامب الانسحاب من سوريا,0,standard,neutral
لا تعليق,0,standard,neutral
كن حامدا فقد سمع الله لمن حمده,0,standard,positive
الابداع مكينجحش فلمغرب,1,dialectal,negative
اذن حسن يبقى ساكت غادي غ يفشلنا,1,dialectal,negative
لا تحكم على اختياراتي اذا لم تكن تعرف أسبابي ولا تحكم على أسبابي لأنك لم تعش حياتي,0,standard,neutral
هل يفتتح دونور أبوابه شهر أبريل المقبل,0,standard,neutral
كان العرب قديما,0,standard,neutral
هو يستاهل وحنا مالين الخير,1,dialectal,positive
ترأس عباس الفاسي للحكومة بحد ذاته إنجاز,0,standard,positive
عرفت غير كنضحك حيث كتشبه ليها,1,dialectal,positive
مازلت متعطشا لهذا الاسلوب الجميل,0,standard,positive
يا أخى عيب عليك لما تعمل,0,standard,negative
قرار صائب اتمنى ان الاخرين يحدون حدوك هدا ما حاولنا قوله من زمان فقمعونا و عتبرونا معاقين عقليا,0,standard,mixed
من الصعب ان تكتب شيئا الآن حول المباراة قلوبنا مع المنتخب,0,standard,mixed
شكرا على توضيح,0,standard,positive
عاجل من خنيفرة انباء عن تعرض إحدى حافلات الكرامة للسرقة من طرف جمهور النادي القنيطري,0,standard,negative
المشكلة أن الأساتذة الجامعيين مكيناقشوش البحوث مع الطلبة لوكانت المناقشة سيتم اكتشاف الخلل,0,standard,negative
هذا هو الإرهاب الحقيقي الذي يتهمونه به زورا ويتلقفه بعض العرب والمسلمين الأغبياء,0,standard,negative
لعمري ما ضاقت بلاد بأهلها ولكن أخلاق الرجال تضيق,1,dialectal,negative
اعلن الانسحاب يا فاشل,0,standard,negative
ملي تشوف بحال هاد الصورة نفقد امل فالبلاد,1,dialectal,negative
هذا يتوقف على مدى إنسجام الزوجين,1,dialectal,neutral
والله كثرة علينا الفضائح هذه ايام,1,dialectal,negative
مامحسوبة لا علينا ولا عليكم,1,dialectal,neutral
و لنا في قصة الخضير و موسى عليه و على رسولنا السلام خير دليل و عبرة لاننا لا نعلم الحكمة من الشيء الا اذا تبينت لنا,0,standard,positive
كل عام وانت سعيد وجميل باختلافك,0,standard,positive
إذا جاءك المهموم أنصت وإذا جاءك المعتدر اصفح وإذا قصدك المحتاج انفق ليس المطلوب أن يكون في جيبك مصحف ولكن المطلوب أن تكون في أخلاقك آية,0,standard,positive
فعلا هناك مثل اسباني يقول لا تعتذر عما فعلت لكن لا تقم بفعله مرة أخرى,0,standard,neutral
كل انسان يتمنى ان يكون وطنه افضل الاوطان,0,standard,neutral
فمدينة تارودانت لقاو جوج خوت ميتين فدارهم الاخ فمرو سنة مصاب بالشلل و الاخت اصغر منو هي اللي مقابلاه الخطير فالأمر ان الوفاة ديالهم دازت عليها أشهر و لكم أن تستغربوا الرسول صل الله عليه وسلم اوصانا بالجار حتى كاد أن يورثه و أوصانا بزيارة المريض و ما له من فضل,1,dialectal,negative
عدو من اعداء المغرب و تبا له و لهم جميعا,0,standard,negative
الله يشافيك اختي مايكون باس,1,dialectal,positive
قلوبنا لبعض ، لو بينا ألف بعد,0,standard,positive
ما اجتمعت السمنة والعقل في جسم واحد قط,0,standard,neutral
موجودون لكن التعاطي معهم هو القليل,0,standard,neutral
يارب العباد وفق الاتحاد,0,standard,positive
هذا شرط قديم,0,standard,neutral
الحمد لله الحفل داز مزيان شكرا ناس مدينة البهجة مراكش,1,dialectal,positive
المحرقة أبشع جريمة بالتاريخ الحديث,0,standard,negative
ندوة بتطوان تقارب تمثلات المرأة في وسائل الإعلام,0,standard,neutral
بنشماش حزب البام يحتاج إلى انبعاث جديد,0,standard,neutral
الله يهدي ماخلق وصافي حتى شي وحدين مطيحين علينا الدل,1,dialectal,negative
الصورة لا تحتاج لتعليق,0,standard,neutral
الصورة هاد تستحق الاوسكار,0,standard,positive
مصاب راه قاليك حول العالم و حظوظي شبه منعدمة,0,standard,negative
اعتقاد خاطئ,0,standard,negative
اطال الله لك في عمرها,0,standard,positive
يسعد أوقاتكم,0,standard,positive
عنوان للفن الراقي,0,standard,positive
رحم الله هذا الشعب الذي يفقد حياته فوق السكك الحديدية وعلى مثن قوارب الموت وداخل آلات الطحن,0,standard,negative
يتسابقون إلى جهنم للأسف,0,standard,negative
تهنيت من وجع الراس,1,dialectal,positive
اللهم احفظ هذا البلد وأهله,0,standard,positive
الملكي يحكم العالم,0,standard,positive
الدولة ما يمكنش تدير كلشي و الى بقينا نتسناوها بقينا هنا,1,dialectal,neutral
حكيمة ومبدعة وقلمك رائع ربي يحفظك,0,standard,positive
بحالكم لي خرجو علينا في هذه البلاد المثالية الخاوية,1,dialectal,negative
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,0,standard,negative
موضوع مهم,0,standard,positive
الشاي المغربي الموجود فى مقهى الحافة الشهيرة بمدينة هرقل طنجة الفاتنة,0,standard,positive
الحمد لله سول فيك الخير,1,dialectal,positive
سخافات وتخلف شباب المستقبل,0,standard,negative
أخلاقياتك هي رصيدك عند الناس فأحسن عملك وخلقك تكن أغنى الأغنياء وإن أردت الإشهار بإفلاسك فسوء خلقك يدعمك لذلك,0,standard,negative
شكرا بزاف تفكرتوني فعيد ميلادي فاليوم لي ولدوني فيه جوج ديال الناس الواليدين الله يطول فعمرهم,1,dialectal,positive
عندي شيء حصري لعالم البرمجة باذن الله,0,standard,neutral
خلك شخص مايفرض نفسه على أي أحد,0,standard,neutral
كل من ينزل مظاهرة بسلاح أيا كان انتماءه السياسي هو مشروع قاتل يجب محاكمته,0,standard,negative
لو تكثر أشيائي الجميله أنت أجملها,0,standard,positive
سبحان الذي بيده ملكوت كل شيء,0,standard,neutral
واذا أردت الشيء يدوم لا تتحدث عنه,0,standard,neutral
كلنا حزينون,0,standard,negative
بطبيعة الحال مافهمت والو انا,1,dialectal,neutral
اصعبهم كتم الضحكة,0,standard,neutral
الله يسعد عمرك تستحقي كل ما هو جميل,0,standard,positive
الذكريات التي لا تموت ، تميت,0,standard,negative
الحب شيء جميل لكننا نفتقد إلى شروطه,0,standard,mixed
الناس السوس طيبين,1,dialectal,positive
ديما مرتاح,1,dialectal,positive
كل الأشياء قابله للتغيير ، أولها ذلك الذي تستثنيه دائما,0,standard,neutral
نعم لدي صديقات من الطفولة,0,standard,neutral
أ لإهمال اهتمام كا,0,standard,negative
ماشي ديما بعض العلاقات تلزم الاهتمام,1,dialectal,neutral
الحمد لله على نعمة الامن و الامان,0,standard,positive
أرجو منك أن تخبرني برأيك عني بصراحة فأنا لن أتعرف على هويتك,0,standard,positive
حبيب العين والبسمه حبيب الليل واشواقي حبيب قلبي الهايم ونور عيوني,0,standard,positive
اه و هما يقولو باللي مهرجان الثقافات اسيدي جيب بنتك و مرتك تما وسط الجموع و شوف واس ترضى بهداك الذل,1,dialectal,negative
العفو هذا اقل شيء ممكن نقدمه لكم,0,standard,positive
واحدة من كوارث كتيرة عملها حكم الإخوان فى شهور,0,standard,negative
ثانوية بالمحمدية تكرم متقاعدين وتحتفي بمتفوقين,0,standard,positive
هادي شحال من نهار و انا باغة نمشي نتبرع بالدم و لكن ماكنلقاش كيفاش هاد الكارافان لي قريبة ليا كايبداو معطلين ف الصباح و كايساليو بكري قبل مانخرج من الخدمة و ماكاينينش الويكاند و يقولك كاين خصاص ف بنك الدم,1,dialectal,neutral
ظننت بك خيرا ف خذلتني,0,standard,mixed
الحكومة الحالية غير قادرة على إتخاذ قرارات وهي حكومة فاشلة,0,standard,negative
أبتسم للكلام الحلو بس لا تصدقه,0,standard,positive
هذا من اصلك الطيب و معدنك الصافي اخي الكريم,1,dialectal,positive
خيبت ظني ليتني ما حبيتك,0,standard,negative
وا تا سير حشم على رجولتك,1,dialectal,negative
و اخيرا نحن فقط نضع احتمالات لما نراه,0,standard,neutral
من قال لك أنهم يكرهون بعدهم الكوريتين مثل الجزائر و المغرب الشعب يحب بضعه البعض لكن الحكومات شيء آخر,1,dialectal,mixed
اللهم إني اسألك طمأنينة دائمة وشغفا لا ينقطع,0,standard,positive
الهضرة ماتشري خضرة حتى نجيو للتطبيق,1,dialectal,neutral
اللهم صل وسلم وبارك على نبينا محمد و على آله وصحبه أجمعين,0,standard,neutral
الإصرار على التفاؤل قد يصنع ما كان مستحيلا,0,standard,positive
قيل ليوسف و هو في السجن إنا نراك من المحسنين وقيل له وهو على خزائن مصر إنا نراك من المحسنين المعدن النقي لا تغيره الأحوال الثبات على المبدأ من شيم الرجال اسعد الله اوقاتكم بالطاعات,0,standard,positive
أستاذ في تجارة القرب والخدمات,0,standard,neutral
الثقة في النفس تبارك الله عليك,1,dialectal,positive
ممكن جدا اغلبنا كنا كسالى في الاعراب و النحو و الصرف,0,standard,positive
نفس الشي حتى انا,1,dialectal,neutral
جميل ان تقفز الحكومة فوق انجاز وينسبوه لنفسهم لكن الجميع يعلم حقيقة الأمر مجرد اجتهاد شخصي من عائلة طموحة تريد الافضل للطفلة الصغيرة ولو اعتمدوا على التعليم الحكومي لما سمعنا بانجاز مريم فكفاكم عبثا,0,standard,mixed
من انت حتى تتحدث عن المسلمون لعنة الله عليك,0,standard,negative
لا استطيع للاسف,0,standard,negative
صحيح كلامك وجب التصدي له و بشتى الطرق,0,standard,positive
داكشي لي قلت حتى انا,1,dialectal,neutral
كلام صحيح,0,standard,positive
فعلا جميلة لكن هيهات لغتنا فرطنا فيها و اصبح تكلم الاجنبية معيار لثقافة و وعي الفرد علما ان لغتنا من اكمل و اوسع اللغات قاموسا,0,standard,mixed
هادي تصويرتنا كاملين,1,dialectal,neutral
عيدكم مبارك سعيد,0,standard,positive
الحلي المغربية بهجة النفوس و سحر العيون,0,standard,positive
قنوع بكل شي إلا بوصالك أنا طماع,0,standard,mixed
بعد منتصف الليل يسقط الكبرياء ، ويحيى الحنين,0,standard,positive
اللهم ان هذا منكر,0,standard,negative
انا اصلا غ من المتفرجين النتيجة اللي كانت مرحبا,1,dialectal,neutral
إذا غاب الإهتمام اصبح الرحيل واجبا,0,standard,negative
قلبي مبخرة حنين كلما استعرت الذكرى تصاعد دخانها,0,standard,positive
قررنا إرسال أدوية إلى أفريقيا و هذا عمل إنساني جيد لكن المشكلة أنه كتب عليها بعد الأكل تشارلز بوكوفسكي,0,standard,mixed
حفضك الله اغلى ناس حشومة عليك تقولي نتهناو منك,1,dialectal,mixed
اعرف انك تعرف,0,standard,neutral
الكل تساءل عن اللعنة التي حلت بالعرب في المونديال هل هي حقا لعنة ام ما اراه اننا نحن العرب نشفق على انفسنا كثيرا و لا نسمي الامور بمسمياتها عن اي لعنة تتكلم و انت اتيحت لك فرص لتصيب الخصم بلعنة ما بعدها لعنة نصيبنا من الاحتراف كان الاسم فقط,0,standard,negative
هذه الجريمه البشعه,0,standard,negative
بقى فيا الحال,1,dialectal,negative
كلمة وحدة زوينة تقدر تبدل ليا نهاري كامل و يولي زوين واخا مافيه مايتشاف وحق الله,1,dialectal,positive
حتى الضباب زادها جمالا,0,standard,positive
لاتنسو قراءة سورة الكهف,0,standard,neutral
مستعدة على بركة الله,0,standard,positive
تحياتي لك خويا,1,dialectal,positive
ربي واش مكتحشموس يا إعلام العار,1,dialectal,negative
ارجو له الشفاء العاجل يارب,0,standard,positive
اللهم خفف عن كل مريض ألمه وإشفي مرضانا ومرضى المسلمين أجمعين,0,standard,positive
هناك سور كبير من زمن الاستعمار الفرنسي,0,standard,neutral
الإنسان مسير في ما لا يعلم و مخير في ما يعلم و الله أعلم,0,standard,neutral
عداء الانقلاب لكل ما يتعلق بالاسلام فظيع,0,standard,negative
اكبر من القلب يعني و احسن حفظا,0,standard,positive
بمناسبة هل تغير المغرب إلى الأحسن أم الأسوإ في رأيي أنه جاب دورة على راسو ورجع لبلاصتو ديال,1,dialectal,neutral
كاتشوف شي شاف ولا مدير قبيح بزاف و ستخيكت و كايزيد فيه ف الزيار كاتقول او هدا مالو على هادشي كامل نهار ماكايكونش و كتشوف فعايل شي وحدين كاتفهمو عارف راسو معامن,1,dialectal,negative
دعوة حب,0,standard,positive
مدينة رائعة,0,standard,positive
